"V1" "V2" "V3"
"1" "Ext1" "Ext1" "Ext1"
"2" "Smcr7" "Smcr7" "Smcr7"
"3" "Mgat3" "Mgat3" "Mgat3"
"4" "Slc25a1" "Slc25a1" "Slc25a1"
"5" "Psme4" "Psme4" "Psme4"
"6" "Mrgprb3" "Mrgprb3" "Mrgprb3"
"7" "6330416G13Rik" "6330416G13Rik" "6330416G13Rik"
"8" "Prim1" "Prim1" "Prim1"
"9" "Irgq" "Irgq" "Irgq"
"10" "Slc16a3" "Slc16a3" "Slc16a3"
"11" "Paxip1" "Paxip1" "Paxip1"
"12" "Acpp" "Acpp" "Acpp"
"13" "Ablim3" "Ablim3" "Ablim3"
"14" "Cd151" "Cd151" "Cd151"
"15" "Ankrd22" "Ankrd22" "Ankrd22"
"16" "Pts" "Pts" "Pts"
"17" "Slc45a1" "Slc45a1" "Slc45a1"
"18" "Fasl" "Fasl" "Fasl"
"19" "Sox6" "Sox6" "Sox6"
"20" "Samd10" "Samd10" "Samd10"
"21" "Dimt1" "Dimt1" "Dimt1"
"22" "Rfc2" "Rfc2" "Rfc2"
"23" "Chm" "Chm" "Chm"
"24" "Reep6" "Reep6" "Reep6"
"25" "Edil3" "Edil3" "Edil3"
"26" "Tsga10" "Tsga10" "Tsga10"
"27" "A930018P22Rik" "A930018P22Rik" "A930018P22Rik"
"28" "Gm13304" "Ccl21b" "Gm13304"
"29" "Zfp330" "Zfp330" "Zfp330"
"30" "Shcbp1" "Shcbp1" "Shcbp1"
"31" "Zdhhc13" "Zdhhc13" "Zdhhc13"
"32" "Smcr7l" "Smcr7l" "Smcr7l"
"33" "Mmp27" "Mmp27" "Mmp27"
"34" "Trerf1" "Trerf1" "Trerf1"
"35" "" "Dhrsx" "CAAA01118383.1"
"36" "Afm" "Afm" "Afm"
"37" "Psmc6" "Psmc6" "Psmc6"
"38" "Rhoh" "Rhoh" "Rhoh"
"39" "Actl7a" "Actl7a" "Actl7a"
"40" "Cd2" "Cd2" "Cd2"
"41" "Xrcc1" "Xrcc1" "Xrcc1"
"42" "Dusp14" "Dusp14" "Dusp14"
"43" "Chrna9" "Chrna9" "Chrna9"
"44" "Sp2" "Sp2" "Sp2"
"45" "Ankrd53" "Ankrd53" "Ankrd53"
"46" "Ddx6" "Ddx6" "Ddx6"
"47" "Stambpl1" "Stambpl1" "Stambpl1"
"48" "Plac8" "Plac8" "Plac8"
"49" "Lat2" "Lat2" "Lat2"
"50" "Samd12" "Samd12" "Samd12"
"51" "Slc16a9" "Slc16a9" "Slc16a9"
"52" "B3galt1" "B3galt1" "B3galt1"
"53" "Hemk1" "Hemk1" "Hemk1"
"54" "Prtg" "Prtg" "Prtg"
"55" "Sh3gl2" "Sh3gl2" "Sh3gl2"
"56" "" "Il11ra2" "IL11RA2"
"57" "Tex261" "Tex261" "Tex261"
"58" "Usp33" "Usp33" "Usp33"
"59" "" "Ccl19" "CCL19"
"60" "Sox18" "Sox18" "Sox18"
"61" "Atf4" "Atf4" "Atf4"
"62" "Hs2st1" "Hs2st1" "Hs2st1"
"63" "Top3a" "Top3a" "Top3a"
"64" "March7" "March7" "March7"
"65" "Rps19bp1" "Rps19bp1" "Rps19bp1"
"66" "Ttl" "Ttl" "Ttl"
"67" "Dgcr6" "Dgcr6" "Dgcr6"
"68" "Stk39" "Stk39" "Stk39"
"69" "Cyp4a10" "Cyp4a10" "Cyp4a10"
"70" "Zfp560" "Zfp560" "Zfp560"
"71" "Tnfrsf11b" "Tnfrsf11b" "Tnfrsf11b"
"72" "Spry3" "Spry3" "Spry3"
"73" "Dand5" "Dand5" "Dand5"
"74" "Mmp25" "Mmp25" "Mmp25"
"75" "Slc10a2" "Slc10a2" "Slc10a2"
"76" "Atxn7" "Atxn7" "Atxn7"
"77" "Phf2" "Phf2" "Phf2"
"78" "Csrp3" "Csrp3" "Csrp3"
"79" "Tmlhe" "Tmlhe" "Tmlhe"
"80" "Zfp507" "Zfp507" "Zfp507"
"81" "Gadd45gip1" "Gadd45gip1" "Gadd45gip1"
"82" "Gm4353" "Nup35" "Gm4353"
"83" "Gpx7" "Gpx7" "Gpx7"
"84" "D430041D05Rik" "D430041D05Rik" "D430041D05Rik"
"85" "Cacna1i" "Cacna1i" "Cacna1i"
"86" "1110004F10Rik" "1110004F10Rik" "1110004F10Rik"
"87" "Chst1" "Chst1" "Chst1"
"88" "Cables1" "Cables1" "Cables1"
"89" "Gars" "Gars" "Gars"
"90" "Ube2c" "Ube2c" "Ube2c"
"91" "Cntn4" "Cntn4" "Cntn4"
"92" "Slc7a8" "Slc7a8" "Slc7a8"
"93" "Gm13305" "Il11ra2" "Gm13305"
"94" "E2f8" "E2f8" "E2f8"
"95" "Rhox4e" "Rhox4e" "Rhox4e"
"96" "Rad23a" "Rad23a" "Rad23a"
"97" "Gnpnat1" "Gnpnat1" "Gnpnat1"
"98" "Mal2" "Mal2" "Mal2"
"99" "Msx1" "Msx1" "Msx1"
"100" "Tcea2" "Tcea2" "Tcea2"
"101" "Nkd1" "Nkd1" "Nkd1"
"102" "Mybphl" "Mybphl" "Mybphl"
"103" "Mmp20" "Mmp20" "Mmp20"
"104" "Tshz3" "Tshz3" "Tshz3"
"105" "Dach2" "Dach2" "Dach2"
"106" "Capn5" "Capn5" "Capn5"
"107" "Gm10273" "Timm23" "Gm10273"
"108" "Gm1527" "Gm1527" "Gm1527"
"109" "Ttll9" "Ttll9" "Ttll9"
"110" "1700054O13Rik" "1700054O13Rik" "1700054O13Rik"
"111" "Pla2g12b" "Pla2g12b" "Pla2g12b"
"112" "Gast" "Gast" "Gast"
"113" "Nov" "Nov" "Nov"
"114" "Mrps10" "Mrps10" "Mrps10"
"115" "4930557A04Rik" "4930557A04Rik" "4930557A04Rik"
"116" "" "A430089I19Rik" "GM16522"
"117" "Prodh" "Prodh" "Prodh"
"118" "Efnb2" "Efnb2" "Efnb2"
"119" "Kif13b" "Kif13b" "Kif13b"
"120" "Rspry1" "Rspry1" "Rspry1"
"121" "Gcc1" "Gcc1" "Gcc1"
"122" "Kif2a" "Kif2a" "Kif2a"
"123" "Sh3tc2" "Sh3tc2" "Sh3tc2"
"124" "Sytl5" "Sytl5" "Sytl5"
"125" "Homez" "Homez" "Homez"
"126" "Rnf150" "Rnf150" "Rnf150"
"127" "Pigc" "Pigc" "Pigc"
"128" "Trpc4" "Trpc4" "Trpc4"
"129" "Zfp467" "Zfp467" "Zfp467"
"130" "Ethe1" "Ethe1" "Ethe1"
"131" "Hgfac" "Hgfac" "Hgfac"
"132" "Ror1" "Ror1" "Ror1"
"133" "Igf1" "Igf1" "Igf1"
"134" "Psmd6" "Psmd6" "Psmd6"
"135" "Hdac5" "Hdac5" "Hdac5"
"136" "Tmeff2" "Tmeff2" "Tmeff2"
"137" "Ikbkap" "Ikbkap" "Ikbkap"
"138" "Akr1d1" "Akr1d1" "Akr1d1"
"139" "Mc1r" "Mc1r" "Mc1r"
"140" "Zfp26" "Zfp26" "Zfp26"
"141" "Esr2" "Esr2" "Esr2"
"142" "Tubb3" "Tubb3" "Tubb3"
"143" "" "Serpinb10" "SERPINB10"
"144" "Usp37" "Usp37" "Usp37"
"145" "Iqcc" "Iqcc" "Iqcc"
"146" "Ccl21c" "Ccl21b" "Ccl21c"
"147" "Plekha7" "Plekha7" "Plekha7"
"148" "Oit3" "Oit3" "Oit3"
"149" "Tnnc2" "Tnnc2" "Tnnc2"
"150" "Htr5a" "Htr5a" "Htr5a"
"151" "Nagk" "Nagk" "Nagk"
"152" "Dnm3" "Dnm3" "Dnm3"
"153" "Klhl4" "Klhl4" "Klhl4"
"154" "" "AA792892" "AA792892"
"155" "Lypd3" "Lypd3" "Lypd3"
"156" "Insig1" "Insig1" "Insig1"
"157" "Rbm18" "Rbm18" "Rbm18"
"158" "Tex101" "Tex101" "Tex101"
"159" "Crhr2" "Crhr2" "Crhr2"
"160" "Smcr8" "Smcr8" "Smcr8"
"161" "Bbs10" "Bbs10" "Bbs10"
"162" "Sema3d" "Sema3d" "Sema3d"
"163" "Slc32a1" "Slc32a1" "Slc32a1"
"164" "Zfp536" "Zfp536" "Zfp536"
"165" "Bmp2" "Bmp2" "Bmp2"
"166" "Golga2" "Golga2" "Golga2"
"167" "Mrpl49" "Mrpl49" "Mrpl49"
