"gene name","entrez"
"1700106N22Rik","71764631",
"Mm.121392","71147998",
"Ccl19","68744008",
"LOC544683","73712936",
"Adamdec1","68924763",
"Zfp759","678694",
"Pcbd2","68523219",
"Ywhaq","1132",
"Pcyt1b","69835595",
"Mm.352566","71161159",
"Unc119","67978723",
"BC011426","71724828",
"AI427809","74430948",
"Igsf9","68196921",
"4930432O21Rik","69407971",
"Ankrd56","69816440",
"Abca4","75831755",
"Gpr126","69734560",
"Agpat3","86",
"Pla2g5","71668997",
"Gast","68743895",
"Mtg1","69169624",
"Gstk1","69015398",
"Hhipl2","68443459",
"Pdlim5","68191216",
"Pcyox1","67767456",
"4930515G01Rik","71493222",
"Mnat1","71325264",
"Serpinf2","68498313",
"Ube2e2","70539166",
"Pdgfrl","69102776",
"Mrpl35","68523162",
"Ttc5","69838750",
"E330016A19Rik","70946505",
"Raph1","69446893",
"Cdh7","69540683",
"Osr1","70546317",
"Olfr3","73653380",
"LOC434519","74736261",
"Ptprn2","69236592",
"Nr1d2","1246",
"Dytn","74431230",
"Mmp16","69015308",
"Trappc2l","68744630",
"Kifap3","67765709",
"2610318N02Rik","68546266",
"A430089I19Rik","69174457",
"AI118078","69524479",
"Gfi1","75990426",
"Hn1l","69262252",
"H2-DMa","68191438",
"Rbks","68441484",
"Atp5e","69173370",
"Rnf214","69608501",
"Gdap2","79676598",
"Lrrcc1","71764916",
"B3gnt4","70231176",
"Ston1","70610391",
"Sdcbp","68196966",
"Bhmt2","75694877",
"Sidt1","68410560",
"Hspb7","580",
"Pdcd6ip","70919274",
"E330027P06Rik*","73834535",
"Scn4b","71487184",
"Epha6","69672084",
"Csnk1d","71161483",
"Zfp329","71809391",
"Fam175a","68545282",
"Stra6","69887379",
"Pvalb","75496597",
"Mamstr","70218926",
"Actg1","67792203",
"7120492P10Rik*","73906089",
"Frzb","2238",
"Arl4c","70430824",
"4930453N24Rik","68341848",
"Fam84b","75693034",
"4930555G01Rik","70218360",
"Serf1","75198166",
"Tgm2","69980316",
"Cldn2","75694900",
"9630033F20Rik","69447804",
"Apod","71380893",
"Lama4","76003553",
"Irx5","74822916",
"Hspb1","73514683",
"Aqr","71209928",
"Shc2","68845185",
"Tenc1","68845711",
"Mex3d","70565171",
"Mm.95774","71210490",
"Hyal3","68341651",
"Sugt1","69080005",
"Rorb","2540",
"LOC434781","71764781",
"Cdc42bpg","71495950",
"Tpsg1","576444",
"Kank4","69838574",
"Slc31a2","75774629",
"Impg1","2322",
"D530049N12Rik","74300741",
"LOC433207","74431254",
"Slc44a2","79756317",
"Klk1b8","68632118",
"Cox6b1","71724561",
"2310016G11Rik","74749238",
"Col12a1","69568836",
"B830028H17Rik*","74000588",
"Espl1","69672150",
"Ptrf","74822601",
"Nr1h3","2432",
"Gm5089","74510296",
"A230059C12Rik*","73906292",
"Pik3ip1","69014728",
"Npas3","73949578",
"Rnf215","69352736",
"Srsf12ip1","69407463",
"Acn9","69514666",
"Cep290","633667",
"Acox2","68445985",
"Chgb","73834103",
"Fam55c","69672940",
"Gp6","70276945",
"Zmat4","71210235",
"Svil","69887481",
"Crtac1","69173998",
"Lcor","71281147",
"LOC380945","68546179",
"Ddx4","70946444",
"Arhgap9","67881767",
"Ciao1","2052",
"LOC545458","71574455",
"C030039L03Rik","69837840",
"1700030K09Rik","76081930",
"Sort1","69288327",
"Lrfn3","76081914",
"Heatr1","68410273",
"LOC432771","74514243",
"Oxt","78471453",
"Kpna4","2360",
"Tas2r106","73424344",
"Cbwd1","583873",
"Gpat2","69448704",
"Th","1058",
"Gm9801","70305239",
"Mmab","68861797",
"Ttn","70302866",
"Etfa","72732",
"Gbx1","81654137",
"LOC433635","71456123",
"Dnajb2","564753",
"Tor1a","686200",
"Zkscan3","68442991",
"Gstp1","68910954",
"Ankrd55","74821606",
"Hsd3b1","68667637",
"Parp10","73808420",
"Wdr7","70303004",
"Ctnna3","75988355",
"Mtus1","73712762",
"Fdps","69113674",
"Pcdhga1","79354786",
"Hspa12a","378546",
"Ms4a4c","68744642",
"Abi3","68744994",
"Edem3","70539223",
"Agmat","73818841",
"Colec11","74581014",
"Dock8","70919495",
"Kank1","69133686",
"5730585A16Rik","74265327",
"Exosc4","68193052",
"Mmp17","68799059",
"Wrb","1118",
"Zranb1","70303516",
"Nrsn2","74579404",
"Polr3f","68269694",
"Acox3","69262290",
"C330006K01Rik","70231923",
"Cdkn2aipnl","69608453",
"Nlrp4g","70725013",
"Ppfia3","69202693",
"Pcnxl3","71920491",
"Abcc6","69514612",
"F830221A01Rik*","73748722",
"Ndrg4","69782109",
"Gja6","69257331",
"Tspan11","70523846",
"Tmem109","70445383",
"Serpinb12","75831718",
"Dsn1","68522356",
"Serp1","631720",
"Ubn2","69013104",
"Snx31","73512530",
"Ipo5","69735909",
"Olfr314","74720985",
"Hic1","69289099",
"Ppp1r9a","68797721",
"AI428898","71212563",
"Uts2r","69288471",
"Grin3a","69859865",
"Mrpl44","71020790",
"Zfp503","139",
"LOC381872","70596125",
"Usp46","68162264",
"Bpi","75931540",
"A630091E08Rik","72471722",
"BC003331","70445604",
"Arhgef10l","75831723",
"Dpcr1","70298208",
"Fbxo41","70946252",
"2310007L24Rik","71991756",
"Elfn1","68845257",
"Aifm1","513245",
"Yme1l1","68269042",
"Nrsn1","68798938",
"Irgc1","76081005",
"Bahd1","69528064",
"Fat1","71496994",
"Thop1","68638023",
"Il2rg","80341157",
"Gm2511","70787567",
"Zfp618","70203561",
"Slc7a6os","68667001",
"Sarnp","68744618",
"Pycrl","2516",
"Tmem9b","631723",
"Klk8","69014830",
"Dach2","69837862",
"Aurkaip1","576434",
"Ceacam10","80514149",
"Slc25a42","69236646",
"1700016H13Rik","74581337",
"Slc12a1","78534498",
"Dap","79393541",
"Olfr684","74734842",
"Actl6b","69105315",
"Map2k7","69751998",
"1700009N14Rik","74822594",
"Morc4","72004483",
"1700097I19Rik*","74359562",
"Cdk17","69262342",
"Myoz2","68499467",
"Ptprd","856",
