"V1" "V2" "V3" "V4" "V5"
"1" "Zfp704" "Zfp704" 170753 "ZNF704" 619279
"2" "Slc4a11" "Slc4a11" 269356 "SLC4A11" 83959
"3" "Arl11" "Arl11" 219144 "ARL11" 115761
"4" "Ddt" "Ddt" 13202 "DDT" 1652
"5" "Aire" "Aire" 11634 "AIRE" 326
"6" "Csnk1e" "Csnk1e" 27373 "CSNK1E" 1454
"7" "Magt1" "Magt1" 67075 "MAGT1" 84061
"8" "Itpa" "Itpa" 16434 "ITPA" 3704
"9" "Id1" "Id1" 15901 "ID1" 3397
"10" "Medag" "Medag" 70717 "MEDAG" 84935
"11" "Ebpl" "Ebpl" 68177 "EBPL" 84650
"12" "Gstt2" "Gstt2" 14872 "GSTT2" NaN
"13" "Gp1bb" "Gp1bb" 14724 "GP1BB" 2812
"14" "Mettl4" "Mettl4" 76781 "METTL4" 64863
"15" "Uspl1" "Uspl1" 231915 "USPL1" 10208
"16" "Zfp36l1" "Zfp36l1" 12192 "ZFP36L1" 677
"17" "Ndc80" "Ndc80" 67052 "NDC80" 10403
"18" "Gstt1" "Gstt1" 14871 "GSTT1" 2952
"19" "Syce3" "Syce3" 75459 "SYCE3" 644186
"20" "Ankrd29" "Ankrd29" 225187 "ANKRD29" 147463
"21" "Cdh19" "Cdh19" 227485 "CDH19" 28513
"22" "Ift88" "Ift88" 21821 "IFT88" 8100
"23" "Alox5ap" "Alox5ap" 11690 "ALOX5AP" 241
"24" "Sod1" "Sod1" 20655 "SOD1" 6647
"25" "Bcl2l1" "Bcl2l1" 12048 "BCL2L1" 598
"26" "Lama3" "Lama3" 16774 "LAMA3" 3909
"27" "Ap3b2" "Ap3b2" 11775 "AP3B2" 8120
"28" "Cpt1b" "Cpt1b" 12895 "CPT1B" 1375
"29" "Tmx3" "Tmx3" 67988 "TMX3" 54495
"30" "Cox4i2" "Cox4i2" 84682 "COX4I2" 84701
"31" "Cox7b" "Cox7b" 66142 "COX7B" 1349
"32" "AW554918" "AW554918" 225289 "KIAA1328" 57536
"33" "AW554918" "AW554918" 225289 "KIAA1328" 100506821
"34" "Scaf4" "Scaf4" 224432 "SCAF4" 57466
"35" "Sstr3" "Sstr3" 20607 "SSTR3" 6753
"36" "Sdcbp" "Sdcbp" 53378 "SDCBP" 6386
"37" "Tex26" "Tex26" 75860 "TEX26" 122046
"38" "Insm1" "Insm1" 53626 "INSM1" 3642
"39" "Kdelr3" "Kdelr3" 105785 "KDELR3" 11015
"40" "Kcnj4" "Kcnj4" 16520 "KCNJ4" 3761
"41" "Clic6" "Clic6" 209195 "CLIC6" 54102
"42" "Actn1" "Actn1" 109711 "ACTN1" 87
"43" "Npepl1" "Npepl1" 228961 "NPEPL1" 79716
"44" "Npepl1" "Npepl1" 228961 "NPEPL1" 100652930
"45" "Dsel" "Dsel" 319901 "DSEL" 92126
"46" "Smtn" "Smtn" 29856 "SMTN" 6525
"47" "Bicc1" "Bicc1" 83675 "BICC1" 80114
"48" "Fabp4" "Fabp4" 11770 "FABP4" 2167
"49" "Barx1" "Barx1" 12022 "BARX1" 56033
"50" "Cyth4" "Cyth4" 72318 "CYTH4" 27128
"51" "Itga11" "Itga11" 319480 "ITGA11" 22801
"52" "Ddx17" "Ddx17" 67040 "DDX17" 10521
"53" "Ralgapa2" "Ralgapa2" 241694 "RALGAPA2" 57186
"54" "Cxxc4" "Cxxc4" 319478 "CXXC4" 80319
"55" "Gstz1" "Gstz1" 14874 "GSTZ1" 2954
"56" "Atp7a" "Atp7a" 11977 "ATP7A" 538
"57" "Slc5a4b" "Slc5a4b" 64454 "SLC5A4" 6527
"58" "Kpna3" "Kpna3" 16648 "KPNA3" 3839
"59" "Gprin2" "Gprin2" 432839 "GPRIN2" 9721
"60" "Slc5a4a" "Slc5a4a" 64452 "SLC5A4" 6527
"61" "Polr2m" "Polr2m" 28015 "POLR2M" 81488
"62" "Fras1" "Fras1" 231470 "FRAS1" 80144
"63" "Cabin1" "Cabin1" 104248 "CABIN1" 23523
"64" "Malt1" "Malt1" 240354 "MALT1" 10892
"65" "Tpx2" "Tpx2" 72119 "TPX2" 22974
"66" "Tmprss11e" "Tmprss11e" 243084 "TMPRSS11E" 28983
"67" "Pld4" "Pld4" 104759 "PLD4" 122618
"68" "Fem1b" "Fem1b" 14155 "FEM1B" 10116
"69" "Slc6a18" "Slc6a18" 22598 "SLC6A18" 348932
"70" "Rfpl4" "Rfpl4" 192658 "RFPL2" 10739
