geneid	genesymbol	genename	imageseriesid	plane	entrezgeneid	ncbiaccessionnumber
11126	Pzp	pregnancy zone protein	69015212	sagittal	11287	NM_007376
11134	Aanat	arylalkylamine N-acetyltransferase	71495179	sagittal	11298	NM_009591
11138	Aatk	apoptosis-associated tyrosine kinase	71213880	sagittal	11302	NM_007377
11139	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	69514524	sagittal	11303	NM_013454
11140	Abca4	ATP-binding cassette, sub-family A (ABC1), member 4	75831755	sagittal	11304	NM_007378
11141	Abca2	ATP-binding cassette, sub-family A (ABC1), member 2	69514530	sagittal	11305	NM_007379
11142	Abcb7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	78534538	sagittal	11306	XM_356348
11143	Abcg1	ATP-binding cassette, sub-family G (WHITE), member 1	69514624	sagittal	11307	NM_009593
11144	Abi1	abl-interactor 1	532610	sagittal	11308	NM_007380
11183	Abl1	v-abl Abelson murine leukemia oncogene 1	68844474	sagittal	11350	NM_009594
11185	Abl2	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	70228687	sagittal	11352	XM_136360
11193	Acadl	acyl-Coenzyme A dehydrogenase, long-chain	69549182	sagittal	11363	NM_007381
11193	Acadl	acyl-Coenzyme A dehydrogenase, long-chain	72081416	coronal	11363	NM_007381
11194	Acadm	acyl-Coenzyme A dehydrogenase, medium chain	71627813	sagittal	11364	NM_007382
11198	Acadvl	acyl-Coenzyme A dehydrogenase, very long chain	227161	coronal	11370	NM_017366
11198	Acadvl	acyl-Coenzyme A dehydrogenase, very long chain	68203485	sagittal	11370	NM_017366
11202	Acads	acyl-Coenzyme A dehydrogenase, short chain	68342390	sagittal	11409	NM_007383
11205	Slc33a1	solute carrier family 33 (acetyl-CoA transporter), member 1	68745137	sagittal	11416	NM_015728
11207	Accn1	amiloride-sensitive cation channel 1, neuronal (degenerin)	70430802	sagittal	11418	NM_007384
11207	Accn1	amiloride-sensitive cation channel 1, neuronal (degenerin)	73930838	coronal	11418	NM_007384
11208	Accn2	amiloride-sensitive cation channel 2, neuronal	71654154	sagittal	11419	NM_009597
11210	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	68498226	sagittal	11421	NM_009598
11210	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	70919310	sagittal	11421	TC1559728
11210	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	72109489	coronal	11421	TC1559728
11210	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	73512499	coronal	11421	NM_009598
11212	Ache	acetylcholinesterase	68924841	sagittal	11423	NM_009599
11212	Ache	acetylcholinesterase	70301082	coronal	11423	NM_009599
11214	Apoc4	apolipoprotein C-IV	68632142	sagittal	11425	NM_007385
11215	Macf1	microtubule-actin crosslinking factor 1	69736400	sagittal	11426	XM_110503
11217	Aco1	aconitase 1	74990482	sagittal	11428	NM_007386
11217	Aco1	aconitase 1	76135819	coronal	11428	NM_007386
11218	Aco2	aconitase 2, mitochondrial	67978674	sagittal	11429	NM_080633
11219	Acox1	acyl-Coenzyme A oxidase 1, palmitoyl	68844450	sagittal	11430	NM_015729
11220	Acp1	acid phosphatase 1, soluble	69549669	sagittal	11431	NM_021330
11221	Acp2	acid phosphatase 2, lysosomal	68117992	sagittal	11432	NM_007387
11222	Acp5	acid phosphatase 5, tartrate resistant	70528186	sagittal	11433	NM_007388
11223	Acr	preproacrosin	71495209	sagittal	11434	NM_013455
11224	Chrna1	cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)	71380699	sagittal	11435	NM_007389
11224	Chrna1	cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)	75551465	coronal	11435	NM_007389
11227	Chrna4	cholinergic receptor, nicotinic, alpha polypeptide 4	1173	coronal	11438	NM_015730
