Table S3a. Phylostraticraphic distribution of human genes (ENSEMBLE),,,
Protein_ID,Gene_ID,Phylostratum,Phylogenetic_Internode
ENSP00000215855,ENSG00000100053,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000215861,ENSG00000100058,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000372186,ENSG00000206066,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000215872,ENSG00000100068,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000317578,ENSG00000100077,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000334563,ENSG00000133454,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000215906,ENSG00000128203,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000339813,ENSG00000128294,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000215939,ENSG00000100122,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000346805,ENSG00000196431,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000266082,ENSG00000100154,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000372023,ENSG00000183765,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216027,ENSG00000100209,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000328614,ENSG00000183579,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000330516,ENSG00000182944,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000350199,ENSG00000100280,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000311997,ENSG00000100285,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216121,ENSG00000184117,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000335652,ENSG00000186575,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216144,ENSG00000100314,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000331267,ENSG00000182482,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000343087,ENSG00000187860,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000371800,ENSG00000099999,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000333917,ENSG00000167065,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000333262,ENSG00000185133,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000339916,ENSG00000182541,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000329715,ENSG00000185721,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000338695,ENSG00000100141,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000266088,ENSG00000100170,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000266086,ENSG00000100191,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216038,ENSG00000100220,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000330219,ENSG00000185666,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000347088,ENSG00000133424,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216117,ENSG00000100292,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216122,ENSG00000100297,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216127,ENSG00000100302,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000352835,ENSG00000198125,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000342831,ENSG00000100320,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216181,ENSG00000100345,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216185,ENSG00000100348,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216187,ENSG00000100350,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000371279,ENSG00000100360,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000249042,ENSG00000128311,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000342333,ENSG00000128309,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000371211,ENSG00000187045,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000249071,ENSG00000128340,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000248901,ENSG00000100055,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000300147,ENSG00000166897,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000251973,ENSG00000100065,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000215904,ENSG00000212131,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000340312,ENSG00000100106,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000248924,ENSG00000100116,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000215941,ENSG00000100124,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000215960,ENSG00000100142,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000321735,ENSG00000100156,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000333142,ENSG00000184381,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000352929,ENSG00000100181,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000306497,ENSG00000168135,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216019,ENSG00000100201,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216024,ENSG00000100206,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216044,ENSG00000100226,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000374642,ENSG00000183741,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000346001,ENSG00000100316,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000370933,ENSG00000128268,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000337829,ENSG00000100346,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000303001,ENSG00000172449,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000338371,ENSG00000100354,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216194,ENSG00000100357,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216218,ENSG00000100380,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000349658,ENSG00000196236,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000307197,ENSG00000172404,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000351867,ENSG00000172887,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216241,ENSG00000100399,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000348577,ENSG00000100401,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000263243,ENSG00000100403,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216254,ENSG00000100412,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000347345,ENSG00000100413,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000349271,ENSG00000172346,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216259,ENSG00000100417,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000347401,ENSG00000100138,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000332866,ENSG00000100167,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000355349,ENSG00000198951,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000351927,ENSG00000100197,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000346625,ENSG00000205702,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000352979,ENSG00000172250,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000331376,ENSG00000183569,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000338461,ENSG00000100243,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000370678,ENSG00000128274,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000266254,ENSG00000100271,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000290429,ENSG00000100294,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000338004,ENSG00000100300,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216129,ENSG00000100304,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000370642,ENSG00000159307,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000335568,ENSG00000186732,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000332565,ENSG00000130540,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000345445,ENSG00000100347,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216214,ENSG00000100376,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000350036,ENSG00000077935,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000331544,ENSG00000077942,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000370419,ENSG00000075234,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000290846,ENSG00000100416,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000262738,ENSG00000075275,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216264,ENSG00000100422,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000344851,ENSG00000188511,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000370356,ENSG00000205627,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000333813,ENSG00000182858,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000332223,ENSG00000184164,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000353824,ENSG00000198355,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000266182,ENSG00000138892,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000262794,ENSG00000073146,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000305664,ENSG00000170638,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000248845,ENSG00000073169,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000216271,ENSG00000100429,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000215659,ENSG00000188130,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000333685,ENSG00000185386,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000352288,ENSG00000196576,1,Life before LCA of Cellular_organisms - Cellular organisms
