"gene name","gene symbol","entrez"
"alpha-1-B glycoprotein","A1BG",1
"alpha-2-macroglobulin","A2M",2
"N-acetyltransferase 1 (arylamine N-acetyltransferase)","NAT1",9
"N-acetyltransferase 2 (arylamine N-acetyltransferase)","NAT2",10
"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3","SERPINA3",12
"arylacetamide deacetylase (esterase)","AADAC",13
"angio-associated, migratory cell protein","AAMP",14
"aralkylamine N-acetyltransferase","AANAT",15
"alanyl-tRNA synthetase","AARS",16
"4-aminobutyrate aminotransferase","ABAT",18
"ATP-binding cassette, sub-family A (ABC1), member 1","ABCA1",19
"ATP-binding cassette, sub-family A (ABC1), member 2","ABCA2",20
"ATP-binding cassette, sub-family A (ABC1), member 3","ABCA3",21
"ATP-binding cassette, sub-family B (MDR/TAP), member 7","ABCB7",22
"ATP-binding cassette, sub-family F (GCN20), member 1","ABCF1",23
"ATP-binding cassette, sub-family A (ABC1), member 4","ABCA4",24
"c-abl oncogene 1, non-receptor tyrosine kinase","ABL1",25
"amiloride binding protein 1 (amine oxidase (copper-containing))","ABP1",26
"v-abl Abelson murine leukemia viral oncogene homolog 2","ABL2",27
"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","ABO",28
"active BCR-related","ABR",29
"acetyl-CoA acyltransferase 1","ACAA1",30
"acetyl-CoA carboxylase alpha","ACACA",31
"acetyl-CoA carboxylase beta","ACACB",32
"acyl-CoA dehydrogenase, long chain","ACADL",33
"acyl-CoA dehydrogenase, C-4 to C-12 straight chain","ACADM",34
"acyl-CoA dehydrogenase, C-2 to C-3 short chain","ACADS",35
"acyl-CoA dehydrogenase, short/branched chain","ACADSB",36
"acyl-CoA dehydrogenase, very long chain","ACADVL",37
"acetyl-CoA acetyltransferase 1","ACAT1",38
"acetyl-CoA acetyltransferase 2","ACAT2",39
"acid-sensing (proton-gated) ion channel 2","ASIC2",40
"acid-sensing (proton-gated) ion channel 1","ASIC1",41
"acetylcholinesterase","ACHE",43
"ATP citrate lyase","ACLY",47
"aconitase 1, soluble","ACO1",48
"acrosin","ACR",49
"aconitase 2, mitochondrial","ACO2",50
"acyl-CoA oxidase 1, palmitoyl","ACOX1",51
"acid phosphatase 1, soluble","ACP1",52
"acid phosphatase 2, lysosomal","ACP2",53
"acid phosphatase 5, tartrate resistant","ACP5",54
"acid phosphatase, prostate","ACPP",55
"acrosomal vesicle protein 1","ACRV1",56
"actin, alpha 1, skeletal muscle","ACTA1",58
"actin, alpha 2, smooth muscle, aorta","ACTA2",59
"actin, beta","ACTB",60
"actin, alpha, cardiac muscle 1","ACTC1",70
"actin, gamma 1","ACTG1",71
"actin, gamma 2, smooth muscle, enteric","ACTG2",72
"actinin, alpha 4","ACTN4",81
"actin-like 6A","ACTL6A",86
"actinin, alpha 1","ACTN1",87
"actinin, alpha 2","ACTN2",88
"actinin, alpha 3","ACTN3",89
"activin A receptor, type I","ACVR1",90
"activin A receptor, type IB","ACVR1B",91
"activin A receptor, type IIA","ACVR2A",92
"activin A receptor, type IIB","ACVR2B",93
"activin A receptor type II-like 1","ACVRL1",94
"aminoacylase 1","ACY1",95
"acylphosphatase 1, erythrocyte (common) type","ACYP1",97
"acylphosphatase 2, muscle type","ACYP2",98
"adenosine deaminase","ADA",100
"ADAM metallopeptidase domain 8","ADAM8",101
"ADAM metallopeptidase domain 10","ADAM10",102
"adenosine deaminase, RNA-specific","ADAR",103
"adenosine deaminase, RNA-specific, B1","ADARB1",104
"adenosine deaminase, RNA-specific, B2","ADARB2",105
"adenylate cyclase 1 (brain)","ADCY1",107
"adenylate cyclase 2 (brain)","ADCY2",108
"adenylate cyclase 3","ADCY3",109
"adenylate cyclase 5","ADCY5",111
"adenylate cyclase 6","ADCY6",112
"adenylate cyclase 7","ADCY7",113
"adenylate cyclase 8 (brain)","ADCY8",114
"adenylate cyclase 9","ADCY9",115
"adenylate cyclase activating polypeptide 1 (pituitary)","ADCYAP1",116
"adenylate cyclase activating polypeptide 1 (pituitary) receptor type I","ADCYAP1R1",117
"adducin 1 (alpha)","ADD1",118
"adducin 2 (beta)","ADD2",119
"adducin 3 (gamma)","ADD3",120
"perilipin 2","PLIN2",123
"alcohol dehydrogenase 1A (class I), alpha polypeptide","ADH1A",124
"alcohol dehydrogenase 1B (class I), beta polypeptide","ADH1B",125
"alcohol dehydrogenase 1C (class I), gamma polypeptide","ADH1C",126
"alcohol dehydrogenase 4 (class II), pi polypeptide","ADH4",127
"alcohol dehydrogenase 5 (class III), chi polypeptide","ADH5",128
"alcohol dehydrogenase 6 (class V)","ADH6",130
"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide","ADH7",131
"adenosine kinase","ADK",132
"adrenomedullin","ADM",133
"adenosine A1 receptor","ADORA1",134
"adenosine A2a receptor","ADORA2A",135
"adenosine A2b receptor","ADORA2B",136
"adenosine A3 receptor","ADORA3",140
"ADP-ribosylarginine hydrolase","ADPRH",141
"poly (ADP-ribose) polymerase 1","PARP1",142
"poly (ADP-ribose) polymerase family, member 4","PARP4",143
"adrenoceptor alpha 1D","ADRA1D",146
"adrenoceptor alpha 1B","ADRA1B",147
"adrenoceptor alpha 1A","ADRA1A",148
"adrenoceptor alpha 2A","ADRA2A",150
"adrenoceptor alpha 2B","ADRA2B",151
"adrenoceptor alpha 2C","ADRA2C",152
"adrenoceptor beta 1","ADRB1",153
"adrenoceptor beta 2, surface","ADRB2",154
"adrenoceptor beta 3","ADRB3",155
"adrenergic, beta, receptor kinase 1","ADRBK1",156
"adrenergic, beta, receptor kinase 2","ADRBK2",157
"adenylosuccinate lyase","ADSL",158
"adenylosuccinate synthase","ADSS",159
"adaptor-related protein complex 2, alpha 1 subunit","AP2A1",160
"adaptor-related protein complex 2, alpha 2 subunit","AP2A2",161
"adaptor-related protein complex 1, beta 1 subunit","AP1B1",162
"adaptor-related protein complex 2, beta 1 subunit","AP2B1",163
"adaptor-related protein complex 1, gamma 1 subunit","AP1G1",164
"AE binding protein 1","AEBP1",165
"amino-terminal enhancer of split","AES",166
"cysteine-rich secretory protein 1","CRISP1",167
"AFG3 ATPase family gene 3-like 1 (S. cerevisiae), pseudogene","AFG3L1P",172
"afamin","AFM",173
"alpha-fetoprotein","AFP",174
"aspartylglucosaminidase","AGA",175
"aggrecan","ACAN",176
"advanced glycosylation end product-specific receptor","AGER",177
"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase","AGL",178
"agouti related protein homolog (mouse)","AGRP",181
"jagged 1","JAG1",182
"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","AGT",183
"angiotensin II receptor, type 1","AGTR1",185
"angiotensin II receptor, type 2","AGTR2",186
"apelin receptor","APLNR",187
"alanine-glyoxylate aminotransferase","AGXT",189
"nuclear receptor subfamily 0, group B, member 1","NR0B1",190
"adenosylhomocysteinase","AHCY",191
"aryl hydrocarbon receptor","AHR",196
"alpha-2-HS-glycoprotein","AHSG",197
"allograft inflammatory factor 1","AIF1",199
"absent in melanoma 1","AIM1",202
"adenylate kinase 1","AK1",203
"adenylate kinase 2","AK2",204
"adenylate kinase 4","AK4",205
"v-akt murine thymoma viral oncogene homolog 1","AKT1",207
"v-akt murine thymoma viral oncogene homolog 2","AKT2",208
"aminolevulinate dehydratase","ALAD",210
